ts_unix_ms,ts_utc,pump_1_status,pump_1_sp,pump_1_speed,pump_2_status,pump_2_sp,pump_2_speed,pump_3_status,pump_3_sp,pump_3_speed,pump_4_status,pump_4_sp,pump_4_speed,magneticStirrer_bioreactor_status,magneticStirrer_bioreactor_sp,magneticStirrer_bioreactor_speed,magneticStirrer_bioreactor_fan_duty_cycle,magneticStirrer_lagoon_status,magneticStirrer_lagoon_sp,magneticStirrer_lagoon_speed,magneticStirrer_lagoon_fan_duty_cycle,valve_bio2lag_status,valve_sug2lag_status,od_bioreactor_status,od_bioreactor_value,od_lagoon_status,od_lagoon_value,tempCtrl_bioreactor_status,tempCtrl_bioreactor_sp,tempCtrl_bioreactor_value,tempCtrl_bioreactor_heater_duty_cycle,tempCtrl_lagoon_status,tempCtrl_lagoon_sp,tempCtrl_lagoon_value,tempCtrl_lagoon_heater_duty_cycle,phtCount_lagoon_status,phtCount_lagoon_value,phtCount_lagoon_overlight,nucleo_temperature,ntc1_ambient_temp,ntc2_pump1_temp,ntc3_pump2_temp,ntc4_pump3_temp,ntc5_pump4_temp,level_sensor_bioreactor_status,level_sensor_lagoon_status,flow_rate_pump1,flow_rate_pump2,flow_rate_pump3,flow_rate_pump4,sample_row,sample_col,sample_done_flag,Annotations,ts_local
1789563698201,2026-09-16T13:01:38.201762+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.246,0,0.0,1,37.0,36.37,0.03,0,37.0,-174.57,0.0,0,0.0,0,27.0,27.29,62.38,66.75,80.37,96.33,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:38.201000+02:00
1789563699153,2026-09-16T13:01:39.153715+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2462,0,0.0,1,37.0,36.37,0.03,0,37.0,-184.29,0.0,0,0.0,0,27.0,27.28,62.37,66.73,80.44,95.91,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:39.153000+02:00
1789563700153,2026-09-16T13:01:40.153686+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2458,0,0.0,1,37.0,36.37,0.03,0,37.0,-186.57,0.0,0,0.0,0,27.0,27.29,62.36,66.73,80.48,96.12,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:40.153000+02:00
1789563701152,2026-09-16T13:01:41.152930+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2473,0,0.0,1,37.0,36.37,0.03,0,37.0,-185.05,0.0,0,0.0,0,27.0,27.29,62.41,66.72,80.62,97.44,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:41.152000+02:00
1789563702153,2026-09-16T13:01:42.153547+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2473,0,0.0,1,37.0,36.39,0.03,0,37.0,-176.92,0.0,0,0.0,0,27.0,27.3,62.45,66.77,80.75,98.4,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:42.153000+02:00
1789563703153,2026-09-16T13:01:43.153737+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2458,0,0.0,1,37.0,36.38,0.03,0,37.0,-179.34,0.0,0,0.0,0,28.0,27.3,62.46,66.81,80.81,99.5,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:43.153000+02:00
1789563704153,2026-09-16T13:01:44.153503+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2464,0,0.0,1,37.0,36.39,0.03,0,37.0,-174.01,0.0,0,0.0,0,28.0,27.3,62.46,66.84,80.72,98.85,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:44.153000+02:00
1789563705152,2026-09-16T13:01:45.152983+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2473,0,0.0,1,37.0,36.39,0.03,0,37.0,-177.2,0.0,0,0.0,0,28.0,27.3,62.46,66.81,80.61,98.61,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:45.152000+02:00
1789563706152,2026-09-16T13:01:46.152924+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2464,0,0.0,1,37.0,36.4,0.03,0,37.0,-183.39,0.0,0,0.0,0,28.0,27.31,62.44,66.78,80.56,98.74,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:46.152000+02:00
1789563707153,2026-09-16T13:01:47.153665+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2467,0,0.0,1,37.0,36.4,0.03,0,37.0,-168.11,0.0,0,0.0,0,28.0,27.31,62.41,66.73,80.58,97.86,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:47.153000+02:00
