TimeStamp [DD/MM/YYYY_HH:MM:SS]	Time [s]	Flow_Control Ch.  2(Target)[mbar]	Flow_Control Ch.  2(Read)[mbar]	Flow_Control Ch.  3(Target)[mbar]	Flow_Control Ch.  3(Read)[mbar]	Flow_1(Target) [µl/min]	Flow_1(Read)[µl/min]	
7/1/2026 4:20:22 PM	51.4000	0.0000	4.8200	0.0000	5.0000	0.0000	497.6600	
7/1/2026 4:20:22 PM	51.4490	0.0000	4.7500	0.0000	4.9300	0.0000	497.6600	
7/1/2026 4:20:22 PM	51.4990	0.0000	4.7500	0.0000	5.0000	0.0000	549.0300	
7/1/2026 4:20:22 PM	51.5490	0.0000	4.6900	0.0000	5.0000	0.0000	472.0000	
7/1/2026 4:20:22 PM	51.6000	0.0000	4.6900	0.0000	4.9300	0.0000	472.0000	
7/1/2026 4:20:22 PM	51.6490	0.0000	4.7500	0.0000	5.0000	0.0000	463.3800	
7/1/2026 4:20:22 PM	51.6990	0.0000	4.7500	0.0000	4.9300	0.0000	427.6200	
7/1/2026 4:20:22 PM	51.7490	0.0000	4.7500	0.0000	5.0000	0.0000	427.6200	
7/1/2026 4:20:22 PM	51.7990	0.0000	4.7500	0.0000	4.9300	0.0000	463.0700	
7/1/2026 4:20:22 PM	51.8500	0.0000	4.6900	0.0000	5.0600	0.0000	497.6200	
7/1/2026 4:20:22 PM	51.8990	0.0000	4.7500	0.0000	4.9300	0.0000	497.6200	
7/1/2026 4:20:22 PM	51.9490	0.0000	4.7500	0.0000	4.9300	0.0000	514.5900	
7/1/2026 4:20:22 PM	51.9990	0.0000	4.7500	0.0000	5.0000	0.0000	504.3400	
7/1/2026 4:20:23 PM	52.0490	0.0000	4.8200	0.0000	4.9300	0.0000	504.3400	
7/1/2026 4:20:23 PM	52.0990	0.0000	4.8200	0.0000	4.9300	0.0000	452.6600	
7/1/2026 4:20:23 PM	52.1490	0.0000	4.8200	0.0000	4.9300	0.0000	322.2400	
7/1/2026 4:20:23 PM	52.1990	0.0000	4.6900	0.0000	5.0000	0.0000	322.2400	
7/1/2026 4:20:23 PM	52.2500	0.0000	4.7500	0.0000	4.8700	0.0000	235.6200	
7/1/2026 4:20:23 PM	52.2990	0.0000	4.8200	0.0000	4.9300	0.0000	95.6600	
7/1/2026 4:20:23 PM	52.3500	0.0000	4.8200	0.0000	5.0000	0.0000	-7.9700	
7/1/2026 4:20:23 PM	52.4000	0.0000	4.8200	0.0000	5.0000	0.0000	-7.9700	
7/1/2026 4:20:23 PM	52.4490	0.0000	4.7500	0.0000	4.9300	0.0000	-3.5500	
7/1/2026 4:20:23 PM	52.4990	0.0000	4.7500	0.0000	5.0000	0.0000	6.2400	
7/1/2026 4:20:23 PM	52.5490	0.0000	4.7500	0.0000	4.9300	0.0000	6.2400	
7/1/2026 4:20:23 PM	52.5990	0.0000	4.7500	0.0000	5.0000	0.0000	18.0300	
7/1/2026 4:20:23 PM	52.6490	0.0000	4.7500	0.0000	5.0000	0.0000	51.1000	
7/1/2026 4:20:23 PM	52.6990	0.0000	4.7500	0.0000	5.0000	0.0000	51.1000	
7/1/2026 4:20:23 PM	52.7490	0.0000	4.6900	0.0000	5.0000	0.0000	190.0000	
7/1/2026 4:20:23 PM	52.7990	0.0000	4.8200	0.0000	5.0000	0.0000	379.0700	
7/1/2026 4:20:23 PM	52.8490	0.0000	4.8800	0.0000	4.9300	0.0000	379.0700	
7/1/2026 4:20:23 PM	52.8990	0.0000	4.8200	0.0000	4.9300	0.0000	453.9300	
7/1/2026 4:20:23 PM	52.9490	0.0000	4.8200	0.0000	4.9300	0.0000	533.3100	
7/1/2026 4:20:23 PM	52.9990	0.0000	4.7500	0.0000	4.9300	0.0000	533.3100	
7/1/2026 4:20:24 PM	53.0490	0.0000	4.7500	0.0000	4.9300	0.0000	506.2100	
7/1/2026 4:20:24 PM	53.0990	0.0000	4.8200	0.0000	5.0000	0.0000	482.0700	
7/1/2026 4:20:24 PM	53.1490	0.0000	4.7500	0.0000	4.9300	0.0000	442.9700	
7/1/2026 4:20:24 PM	53.2000	0.0000	4.7500	0.0000	5.0000	0.0000	442.9700	
7/1/2026 4:20:24 PM	53.2490	0.0000	4.7500	0.0000	4.9300	0.0000	438.3100	
7/1/2026 4:20:24 PM	53.2990	0.0000	4.7500	0.0000	4.9300	0.0000	473.1000	
7/1/2026 4:20:24 PM	53.3490	0.0000	4.8200	0.0000	5.0000	0.0000	473.1000	
7/1/2026 4:20:24 PM	53.3990	0.0000	4.7500	0.0000	5.0000	0.0000	511.9700	
7/1/2026 4:20:24 PM	53.4490	0.0000	4.7500	0.0000	4.9300	0.0000	518.0700	
7/1/2026 4:20:24 PM	53.4990	0.0000	4.6900	0.0000	4.9300	0.0000	518.0700	
7/1/2026 4:20:24 PM	53.5490	0.0000	4.8200	0.0000	4.9300	0.0000	484.6200	
7/1/2026 4:20:24 PM	53.5990	0.0000	4.8200	0.0000	5.0000	0.0000	404.3100	
