TimeStamp [DD/MM/YYYY_HH:MM:SS]	Time [s]	Flow_Control Ch.  2(Target)[mbar]	Flow_Control Ch.  2(Read)[mbar]	Flow_Control Ch.  3(Target)[mbar]	Flow_Control Ch.  3(Read)[mbar]	Flow_1(Target) [µl/min]	Flow_1(Read)[µl/min]	
7/2/2026 2:58:59 PM	6.6980	0.0000	18.1400	0.0000	15.5800	0.0000	734.2100	
7/2/2026 2:58:59 PM	6.7480	0.0000	18.1400	0.0000	15.6400	0.0000	734.2100	
7/2/2026 2:58:59 PM	6.7990	0.0000	18.0800	0.0000	15.5800	0.0000	562.0000	
7/2/2026 2:58:59 PM	6.8490	0.0000	18.0800	0.0000	15.6400	0.0000	137.6900	
7/2/2026 2:58:59 PM	6.8990	0.0000	18.0200	0.0000	15.5800	0.0000	137.6900	
7/2/2026 2:58:59 PM	6.9490	0.0000	18.0800	0.0000	15.5800	0.0000	-6.6600	
7/2/2026 2:58:59 PM	6.9980	0.0000	18.0200	0.0000	15.5800	0.0000	75.4500	
7/2/2026 2:58:59 PM	7.0480	0.0000	18.0800	0.0000	15.5800	0.0000	719.6600	
7/2/2026 2:58:59 PM	7.0990	0.0000	18.0800	0.0000	15.6400	0.0000	719.6600	
7/2/2026 2:58:59 PM	7.1490	0.0000	18.0200	0.0000	15.6400	0.0000	830.5200	
7/2/2026 2:58:59 PM	7.1980	0.0000	18.0200	0.0000	15.6400	0.0000	505.8300	
7/2/2026 2:58:59 PM	7.2480	0.0000	18.0200	0.0000	15.5800	0.0000	505.8300	
7/2/2026 2:58:59 PM	7.2980	0.0000	18.0800	0.0000	15.6400	0.0000	709.2400	
7/2/2026 2:58:59 PM	7.3490	0.0000	18.1400	0.0000	15.5800	0.0000	709.2400	
7/2/2026 2:58:59 PM	7.3980	0.0000	18.0800	0.0000	15.5800	0.0000	693.9300	
7/2/2026 2:59:00 PM	7.4480	0.0000	18.0800	0.0000	15.6400	0.0000	348.0300	
7/2/2026 2:59:00 PM	7.4980	0.0000	18.0800	0.0000	15.5800	0.0000	-1.7900	
7/2/2026 2:59:00 PM	7.5480	0.0000	18.0800	0.0000	15.5800	0.0000	-1.7900	
7/2/2026 2:59:00 PM	7.5980	0.0000	18.0800	0.0000	15.6400	0.0000	29.9700	
7/2/2026 2:59:00 PM	7.6480	0.0000	18.1400	0.0000	15.5800	0.0000	526.3100	
7/2/2026 2:59:00 PM	7.6990	0.0000	18.0800	0.0000	15.5800	0.0000	526.3100	
7/2/2026 2:59:00 PM	7.7480	0.0000	18.0800	0.0000	15.5800	0.0000	870.6200	
7/2/2026 2:59:00 PM	7.7980	0.0000	18.0800	0.0000	15.5800	0.0000	675.7600	
7/2/2026 2:59:00 PM	7.8480	0.0000	18.1400	0.0000	15.6400	0.0000	675.7600	
7/2/2026 2:59:00 PM	7.8980	0.0000	18.1400	0.0000	15.5800	0.0000	702.1000	
7/2/2026 2:59:00 PM	7.9480	0.0000	18.0800	0.0000	15.6400	0.0000	700.3100	
7/2/2026 2:59:00 PM	7.9980	0.0000	18.0800	0.0000	15.5800	0.0000	700.3100	
7/2/2026 2:59:00 PM	8.0480	0.0000	18.1400	0.0000	15.5800	0.0000	382.8300	
7/2/2026 2:59:00 PM	8.0980	0.0000	18.1400	0.0000	15.6400	0.0000	21.1000	
7/2/2026 2:59:00 PM	8.1480	0.0000	18.1400	0.0000	15.6400	0.0000	21.1000	
7/2/2026 2:59:00 PM	8.1990	0.0000	18.0800	0.0000	15.5800	0.0000	2.5900	
7/2/2026 2:59:00 PM	8.2480	0.0000	18.0800	0.0000	15.6400	0.0000	250.5200	
7/2/2026 2:59:00 PM	8.2980	0.0000	18.0800	0.0000	15.5800	0.0000	881.2800	
7/2/2026 2:59:00 PM	8.3480	0.0000	18.0800	0.0000	15.5800	0.0000	881.2800	
7/2/2026 2:59:00 PM	8.3990	0.0000	18.1400	0.0000	15.5800	0.0000	738.1400	
7/2/2026 2:59:01 PM	8.4480	0.0000	18.1400	0.0000	15.6400	0.0000	682.6200	
7/2/2026 2:59:01 PM	8.4980	0.0000	18.1400	0.0000	15.5800	0.0000	682.6200	
7/2/2026 2:59:01 PM	8.5480	0.0000	18.1400	0.0000	15.6400	0.0000	774.8600	
7/2/2026 2:59:01 PM	8.5980	0.0000	18.1900	0.0000	15.6400	0.0000	501.4500	
7/2/2026 2:59:01 PM	8.6480	0.0000	18.0800	0.0000	15.5800	0.0000	501.4500	
7/2/2026 2:59:01 PM	8.6980	0.0000	18.1400	0.0000	15.5800	0.0000	104.4100	
7/2/2026 2:59:01 PM	8.7480	0.0000	18.0800	0.0000	15.5800	0.0000	-5.2800	
7/2/2026 2:59:01 PM	8.7980	0.0000	18.1400	0.0000	15.5800	0.0000	-5.2800	
7/2/2026 2:59:01 PM	8.8480	0.0000	18.1400	0.0000	15.5800	0.0000	83.5200	
7/2/2026 2:59:01 PM	8.8990	0.0000	18.0800	0.0000	15.5800	0.0000	673.0300	
7/2/2026 2:59:01 PM	8.9490	0.0000	18.1400	0.0000	15.5800	0.0000	673.0300	
7/2/2026 2:59:01 PM	8.9980	0.0000	18.0800	0.0000	15.5800	0.0000	740.6600	
7/2/2026 2:59:01 PM	9.0480	0.0000	18.0800	0.0000	15.5800	0.0000	675.5900	
7/2/2026 2:59:01 PM	9.0980	0.0000	18.0800	0.0000	15.6400	0.0000	707.8300	
7/2/2026 2:59:01 PM	9.1480	0.0000	18.0800	0.0000	15.6400	0.0000	707.8300	
7/2/2026 2:59:01 PM	9.1980	0.0000	18.1400	0.0000	15.5200	0.0000	669.0300	
7/2/2026 2:59:01 PM	9.2480	0.0000	18.0800	0.0000	15.5200	0.0000	294.0300	
7/2/2026 2:59:01 PM	9.2980	0.0000	18.1400	0.0000	15.6400	0.0000	294.0300	
7/2/2026 2:59:01 PM	9.3490	0.0000	18.0800	0.0000	15.5800	0.0000	-4.7900	
7/2/2026 2:59:01 PM	9.3990	0.0000	18.0800	0.0000	15.5800	0.0000	37.1400	
7/2/2026 2:59:02 PM	9.4480	0.0000	18.0800	0.0000	15.5800	0.0000	37.1400	
7/2/2026 2:59:02 PM	9.4980	0.0000	18.1400	0.0000	15.6400	0.0000	572.2100	
7/2/2026 2:59:02 PM	9.5480	0.0000	18.0800	0.0000	15.6900	0.0000	862.2400	
7/2/2026 2:59:02 PM	9.5980	0.0000	18.1400	0.0000	15.6400	0.0000	862.2400	
7/2/2026 2:59:02 PM	9.6490	0.0000	18.0800	0.0000	15.5800	0.0000	660.9300	
7/2/2026 2:59:02 PM	9.6980	0.0000	18.0800	0.0000	15.6400	0.0000	705.5200	
7/2/2026 2:59:02 PM	9.7480	0.0000	18.0800	0.0000	15.5800	0.0000	705.6900	
7/2/2026 2:59:02 PM	9.7990	0.0000	18.0800	0.0000	15.5800	0.0000	705.6900	
7/2/2026 2:59:02 PM	9.8480	0.0000	18.1400	0.0000	15.5800	0.0000	360.1400	
7/2/2026 2:59:02 PM	9.8990	0.0000	18.0800	0.0000	15.5800	0.0000	17.5500	
7/2/2026 2:59:02 PM	9.9480	0.0000	18.0800	0.0000	15.5800	0.0000	17.5500	
7/2/2026 2:59:02 PM	9.9990	0.0000	18.1400	0.0000	15.6400	0.0000	12.1700	
7/2/2026 2:59:02 PM	10.0480	0.0000	18.1400	0.0000	15.5800	0.0000	309.4100	
7/2/2026 2:59:02 PM	10.0990	0.0000	18.0800	0.0000	15.5800	0.0000	309.4100	
7/2/2026 2:59:02 PM	10.1480	0.0000	18.0800	0.0000	15.5800	0.0000	878.6900	
7/2/2026 2:59:02 PM	10.1980	0.0000	18.0800	0.0000	15.5800	0.0000	747.1000	
7/2/2026 2:59:02 PM	10.2490	0.0000	18.1400	0.0000	15.6400	0.0000	747.1000	
7/2/2026 2:59:02 PM	10.2980	0.0000	18.1400	0.0000	15.6400	0.0000	692.8600	
7/2/2026 2:59:02 PM	10.3480	0.0000	18.1400	0.0000	15.5800	0.0000	708.9700	
7/2/2026 2:59:02 PM	10.3980	0.0000	18.0800	0.0000	15.5800	0.0000	708.9700	
7/2/2026 2:59:03 PM	10.4480	0.0000	18.0800	0.0000	15.5800	0.0000	393.9300	
7/2/2026 2:59:03 PM	10.4990	0.0000	18.1400	0.0000	15.5200	0.0000	145.0300	
7/2/2026 2:59:03 PM	10.5490	0.0000	18.0800	0.0000	15.6400	0.0000	145.0300	
7/2/2026 2:59:03 PM	10.5990	0.0000	18.1400	0.0000	15.6400	0.0000	2.4500	
7/2/2026 2:59:03 PM	10.6480	0.0000	18.1400	0.0000	15.5800	0.0000	124.4800	
7/2/2026 2:59:03 PM	10.6980	0.0000	18.0800	0.0000	15.5800	0.0000	124.4800	
7/2/2026 2:59:03 PM	10.7480	0.0000	18.0800	0.0000	15.6400	0.0000	806.6200	
7/2/2026 2:59:03 PM	10.7980	0.0000	18.1400	0.0000	15.5800	0.0000	775.9700	
7/2/2026 2:59:03 PM	10.8480	0.0000	18.0800	0.0000	15.6400	0.0000	661.4500	
