TimeStamp [DD/MM/YYYY_HH:MM:SS]	Time [s]	Flow_Control Ch.  2(Target)[mbar]	Flow_Control Ch.  2(Read)[mbar]	Flow_Control Ch.  3(Target)[mbar]	Flow_Control Ch.  3(Read)[mbar]	Flow_1(Target) [µl/min]	Flow_1(Read)[µl/min]	
7/3/2026 1:45:11 PM	1.9610	0.0000	16.4500	0.0000	14.0700	0.0000	18.7200	
7/3/2026 1:45:11 PM	2.0110	0.0000	16.5700	0.0000	14.0700	0.0000	18.7200	
7/3/2026 1:45:11 PM	2.0610	0.0000	16.5100	0.0000	14.0100	0.0000	-12.0000	
7/3/2026 1:45:11 PM	2.1110	0.0000	16.4500	0.0000	14.0100	0.0000	-2.0300	
7/3/2026 1:45:11 PM	2.1620	0.0000	16.4500	0.0000	14.0700	0.0000	-2.0300	
7/3/2026 1:45:11 PM	2.2120	0.0000	16.5100	0.0000	14.0100	0.0000	8.5500	
7/3/2026 1:45:11 PM	2.2620	0.0000	16.4500	0.0000	14.0100	0.0000	22.1000	
7/3/2026 1:45:11 PM	2.3120	0.0000	16.5100	0.0000	14.0700	0.0000	22.1000	
7/3/2026 1:45:11 PM	2.3610	0.0000	16.5100	0.0000	14.0700	0.0000	63.5500	
7/3/2026 1:45:12 PM	2.4110	0.0000	16.4500	0.0000	14.0700	0.0000	200.1700	
7/3/2026 1:45:12 PM	2.4610	0.0000	16.5100	0.0000	14.0700	0.0000	347.0300	
7/3/2026 1:45:12 PM	2.5110	0.0000	16.3900	0.0000	14.0700	0.0000	347.0300	
7/3/2026 1:45:12 PM	2.5610	0.0000	16.4500	0.0000	14.1300	0.0000	422.3100	
7/3/2026 1:45:12 PM	2.6110	0.0000	16.4500	0.0000	14.0700	0.0000	448.2400	
7/3/2026 1:45:12 PM	2.6610	0.0000	16.5100	0.0000	14.0700	0.0000	448.2400	
7/3/2026 1:45:12 PM	2.7110	0.0000	16.4500	0.0000	14.1300	0.0000	427.4500	
7/3/2026 1:45:12 PM	2.7620	0.0000	16.4500	0.0000	14.0700	0.0000	416.3100	
7/3/2026 1:45:12 PM	2.8120	0.0000	16.4500	0.0000	14.0100	0.0000	416.3100	
7/3/2026 1:45:12 PM	2.8620	0.0000	16.4500	0.0000	14.0700	0.0000	409.4500	
7/3/2026 1:45:12 PM	2.9120	0.0000	16.4500	0.0000	14.0700	0.0000	403.4100	
7/3/2026 1:45:12 PM	2.9610	0.0000	16.4500	0.0000	14.1300	0.0000	403.4100	
7/3/2026 1:45:12 PM	3.0110	0.0000	16.5100	0.0000	14.0700	0.0000	430.4500	
7/3/2026 1:45:12 PM	3.0610	0.0000	16.4500	0.0000	14.0700	0.0000	446.0300	
7/3/2026 1:45:12 PM	3.1110	0.0000	16.5100	0.0000	14.0100	0.0000	446.0300	
7/3/2026 1:45:12 PM	3.1610	0.0000	16.5100	0.0000	14.1300	0.0000	427.0700	
7/3/2026 1:45:12 PM	3.2110	0.0000	16.4500	0.0000	14.0700	0.0000	415.4500	
7/3/2026 1:45:12 PM	3.2610	0.0000	16.4500	0.0000	14.0700	0.0000	415.4500	
7/3/2026 1:45:12 PM	3.3110	0.0000	16.4500	0.0000	14.0700	0.0000	301.0700	
7/3/2026 1:45:12 PM	3.3620	0.0000	16.5100	0.0000	14.0700	0.0000	206.3400	
7/3/2026 1:45:13 PM	3.4120	0.0000	16.4500	0.0000	14.0700	0.0000	97.3800	
7/3/2026 1:45:13 PM	3.4620	0.0000	16.4500	0.0000	14.0700	0.0000	97.3800	
7/3/2026 1:45:13 PM	3.5110	0.0000	16.3900	0.0000	14.1300	0.0000	-9.3400	
7/3/2026 1:45:13 PM	3.5610	0.0000	16.4500	0.0000	14.0100	0.0000	-7.8300	
7/3/2026 1:45:13 PM	3.6120	0.0000	16.5100	0.0000	14.0700	0.0000	-7.8300	
7/3/2026 1:45:13 PM	3.6610	0.0000	16.5100	0.0000	14.0700	0.0000	2.5500	
