TimeStamp [DD/MM/YYYY_HH:MM:SS]	Time [s]	OB1_MK4 Ch.  1(Target)[mbar]	OB1_MK4 Ch.  1(Read)[mbar]	Flow_1(Target) [µl/min]	Flow_1(Read)[µl/min]	
7/10/2026 3:25:07 PM	0.9300	0.0000	25.7500	36.4100	204.0300	
7/10/2026 3:25:07 PM	0.9800	0.0000	25.7500	36.4100	204.0300	
7/10/2026 3:25:07 PM	1.0300	-1.6663	25.7500	36.4100	225.7600	
7/10/2026 3:25:07 PM	1.0790	0.0000	25.7500	36.4100	58.6600	
7/10/2026 3:25:07 PM	1.1290	0.0000	25.7500	36.4100	58.6600	
7/10/2026 3:25:07 PM	1.1790	0.1081	25.7500	36.4100	26.7600	
7/10/2026 3:25:07 PM	1.2290	0.3447	25.7500	36.4100	6.3800	
7/10/2026 3:25:08 PM	1.2800	0.4649	25.8100	36.4100	6.3800	
7/10/2026 3:25:08 PM	1.3290	0.4502	25.7500	36.4100	18.2800	
7/10/2026 3:25:08 PM	1.3800	0.0000	25.7500	36.4100	322.4500	
7/10/2026 3:25:08 PM	1.4290	0.0000	25.7500	36.4100	481.1000	
7/10/2026 3:25:08 PM	1.4800	0.0000	25.7500	36.4100	481.1000	
7/10/2026 3:25:08 PM	1.5290	0.0000	25.7500	36.4100	712.6600	
7/10/2026 3:25:08 PM	1.5800	0.0000	25.7500	36.4100	651.1400	
7/10/2026 3:25:08 PM	1.6290	0.0000	25.7500	36.4100	651.1400	
7/10/2026 3:25:08 PM	1.6790	-5.0239	25.6900	36.4100	612.5500	
7/10/2026 3:25:08 PM	1.7300	0.0000	25.6900	36.4100	571.1400	
7/10/2026 3:25:08 PM	1.7790	0.0000	25.6900	36.4100	571.1400	
7/10/2026 3:25:08 PM	1.8290	0.0000	25.7500	36.4100	578.7600	
7/10/2026 3:25:08 PM	1.8790	0.0000	25.7500	36.4100	613.4500	
7/10/2026 3:25:08 PM	1.9290	0.0000	25.7500	36.4100	613.4500	
7/10/2026 3:25:08 PM	1.9800	0.0000	25.7500	36.4100	549.2800	
7/10/2026 3:25:08 PM	2.0290	0.0000	25.8100	36.4100	433.9300	
7/10/2026 3:25:08 PM	2.0800	-3.4982	25.6900	36.4100	433.9300	
7/10/2026 3:25:08 PM	2.1300	-1.7635	25.8100	36.4100	235.0000	
7/10/2026 3:25:08 PM	2.1790	0.0000	25.6900	36.4100	235.0700	
7/10/2026 3:25:08 PM	2.2300	-1.7641	25.7500	36.4100	235.0700	
7/10/2026 3:25:09 PM	2.2790	0.0000	25.7500	36.4100	113.1700	
7/10/2026 3:25:09 PM	2.3290	0.0185	25.7500	36.4100	34.4800	
7/10/2026 3:25:09 PM	2.3800	0.0264	25.7500	36.4100	14.2100	
7/10/2026 3:25:09 PM	2.4300	0.2756	25.7500	36.4100	14.2100	
7/10/2026 3:25:09 PM	2.4790	0.5779	25.7500	36.4100	-6.4800	
7/10/2026 3:25:09 PM	2.5300	0.7529	25.6900	36.4100	209.2100	
7/10/2026 3:25:09 PM	2.5790	0.0000	25.7500	36.4100	209.2100	
7/10/2026 3:25:09 PM	2.6300	0.0000	25.7500	36.4100	411.1700	
7/10/2026 3:25:09 PM	2.6790	-5.3581	25.7500	36.4100	645.2800	
7/10/2026 3:25:09 PM	2.7290	-5.3581	25.7500	36.4100	645.2800	
7/10/2026 3:25:09 PM	2.7790	-5.6793	25.6900	36.4100	681.7900	
7/10/2026 3:25:09 PM	2.8290	0.0000	25.7500	36.4100	630.3400	
7/10/2026 3:25:09 PM	2.8790	0.0000	25.7500	36.4100	630.3400	
7/10/2026 3:25:09 PM	2.9290	0.0000	25.7500	36.4100	581.9700	
7/10/2026 3:25:09 PM	2.9810	0.0000	25.7500	36.4100	569.2100	
7/10/2026 3:25:09 PM	3.0290	0.0000	25.7500	36.4100	569.2100	
7/10/2026 3:25:09 PM	3.0800	0.0000	25.7500	36.4100	596.7900	
7/10/2026 3:25:09 PM	3.1290	0.0000	25.7500	36.4100	594.6900	
7/10/2026 3:25:09 PM	3.1800	0.0000	25.7500	36.4100	491.0000	
7/10/2026 3:25:09 PM	3.2310	0.0000	25.7500	36.4100	491.0000	
7/10/2026 3:25:10 PM	3.2800	0.0000	25.7500	36.4100	306.1400	
7/10/2026 3:25:10 PM	3.3290	-1.5077	25.7500	36.4100	209.3100	
7/10/2026 3:25:10 PM	3.3790	0.0000	25.6900	36.4100	209.3100	
7/10/2026 3:25:10 PM	3.4290	0.0000	25.7500	36.4100	191.9300	
7/10/2026 3:25:10 PM	3.4800	0.0000	25.7500	36.4100	45.7900	
7/10/2026 3:25:10 PM	3.5290	0.0000	25.7500	36.4100	45.7900	
7/10/2026 3:25:10 PM	3.5800	0.1645	25.7500	36.4100	21.8300	
7/10/2026 3:25:10 PM	3.6300	0.3964	25.6900	36.4100	1.7900	
7/10/2026 3:25:10 PM	3.6790	0.5376	25.6900	36.4100	1.7900	
7/10/2026 3:25:10 PM	3.7290	-0.1323	25.6900	36.4100	73.7200	
7/10/2026 3:25:10 PM	3.7790	-2.8394	25.7500	36.4100	359.0700	
7/10/2026 3:25:10 PM	3.8290	-2.8394	25.7500	36.4100	359.0700	
7/10/2026 3:25:10 PM	3.8790	0.0000	25.7500	36.4100	537.7200	
7/10/2026 3:25:10 PM	3.9290	0.0000	25.7500	36.4100	715.6900	
7/10/2026 3:25:10 PM	3.9790	0.0000	25.6900	36.4100	645.5500	
7/10/2026 3:25:10 PM	4.0290	0.0000	25.7500	36.4100	645.5500	
7/10/2026 3:25:10 PM	4.0800	0.0000	25.7500	36.4100	599.5200	
7/10/2026 3:25:10 PM	4.1300	0.0000	25.6900	36.4100	570.2100	
7/10/2026 3:25:10 PM	4.1790	0.0000	25.6900	36.4100	570.2100	
7/10/2026 3:25:10 PM	4.2300	0.0000	25.6900	36.4100	585.6200	
7/10/2026 3:25:11 PM	4.2790	0.0000	25.6900	36.4100	615.9700	
7/10/2026 3:25:11 PM	4.3300	0.0000	25.7500	36.4100	615.9700	
7/10/2026 3:25:11 PM	4.3790	0.0000	25.7500	36.4100	527.2100	
7/10/2026 3:25:11 PM	4.4300	-3.0843	25.7500	36.4100	386.9000	
7/10/2026 3:25:11 PM	4.4790	-3.1124	25.6900	36.4100	386.9000	
7/10/2026 3:25:11 PM	4.5300	0.0000	25.6900	36.4100	209.5500	
7/10/2026 3:25:11 PM	4.5790	0.0000	25.7500	36.4100	238.1000	
7/10/2026 3:25:11 PM	4.6290	0.0000	25.6900	36.4100	238.1000	
7/10/2026 3:25:11 PM	4.6790	-0.3390	25.7500	36.4100	74.9300	
7/10/2026 3:25:11 PM	4.7290	0.0669	25.7500	36.4100	29.3800	
7/10/2026 3:25:11 PM	4.7790	0.0956	25.7500	36.4100	9.7600	
7/10/2026 3:25:11 PM	4.8290	0.3592	25.6900	36.4100	9.7600	
7/10/2026 3:25:11 PM	4.8790	0.5679	25.6900	36.4100	-1.1000	
7/10/2026 3:25:11 PM	4.9290	0.7209	25.6900	36.4100	283.5500	
7/10/2026 3:25:11 PM	4.9790	0.0000	25.7500	36.4100	283.5500	
7/10/2026 3:25:11 PM	5.0300	0.0000	25.7500	36.4100	452.9000	
7/10/2026 3:25:11 PM	5.0800	0.0000	25.6900	36.4100	695.9700	
7/10/2026 3:25:11 PM	5.1290	0.0000	25.6900	36.4100	695.9700	
7/10/2026 3:25:11 PM	5.1790	0.0000	25.6900	36.4100	663.7200	
7/10/2026 3:25:11 PM	5.2290	0.0000	25.6900	36.4100	618.5900	
7/10/2026 3:25:12 PM	5.2790	0.0000	25.7500	36.4100	618.5900	
7/10/2026 3:25:12 PM	5.3290	0.0000	25.6900	36.4100	576.3800	
7/10/2026 3:25:12 PM	5.3800	0.0000	25.6900	36.4100	574.0300	
7/10/2026 3:25:12 PM	5.4290	0.0000	25.6900	36.4100	574.0300	
7/10/2026 3:25:12 PM	5.4790	0.0000	25.7500	36.4100	610.4800	
7/10/2026 3:25:12 PM	5.5300	0.0000	25.7500	36.4100	567.2400	
7/10/2026 3:25:12 PM	5.5800	0.0000	25.7500	36.4100	567.2400	
7/10/2026 3:25:12 PM	5.6290	-3.7270	25.6900	36.4100	459.9300	
7/10/2026 3:25:12 PM	5.6790	0.0000	25.7500	36.4100	258.5500	
7/10/2026 3:25:12 PM	5.7290	0.0000	25.6900	36.4100	225.1000	
7/10/2026 3:25:12 PM	5.7790	0.0000	25.6900	36.4100	225.1000	
7/10/2026 3:25:12 PM	5.8290	0.0000	25.6900	36.4100	145.1400	
7/10/2026 3:25:12 PM	5.8800	0.0000	25.7500	36.4100	38.1000	
7/10/2026 3:25:12 PM	5.9290	0.0000	25.6900	36.4100	38.1000	
7/10/2026 3:25:12 PM	5.9800	0.1968	25.7500	36.4100	17.3400	
7/10/2026 3:25:12 PM	6.0300	0.4569	25.6900	36.4100	-3.5500	
7/10/2026 3:25:12 PM	6.0800	0.6168	25.6900	36.4100	-3.5500	
7/10/2026 3:25:12 PM	6.1300	0.0000	25.6900	36.4100	152.5900	
7/10/2026 3:25:12 PM	6.1800	0.0000	25.7500	36.4100	390.0700	
7/10/2026 3:25:12 PM	6.2300	0.0000	25.6900	36.4100	390.0700	
7/10/2026 3:25:13 PM	6.2790	0.0000	25.7500	36.4100	603.9000	
7/10/2026 3:25:13 PM	6.3290	0.0000	25.7500	36.4100	694.0700	
7/10/2026 3:25:13 PM	6.3790	-5.7348	25.7500	36.4100	694.0700	
7/10/2026 3:25:13 PM	6.4300	0.0000	25.7500	36.4100	635.1700	
7/10/2026 3:25:13 PM	6.4800	0.0000	25.7500	36.4100	591.2800	
7/10/2026 3:25:13 PM	6.5300	0.0000	25.6900	36.4100	570.6200	
7/10/2026 3:25:13 PM	6.5790	0.0000	25.7500	36.4100	570.6200	
7/10/2026 3:25:13 PM	6.6290	0.0000	25.7500	36.4100	594.0300	
7/10/2026 3:25:13 PM	6.6790	0.0000	25.6900	36.4100	607.0000	
7/10/2026 3:25:13 PM	6.7290	0.0000	25.7500	36.4100	607.0000	
7/10/2026 3:25:13 PM	6.7790	0.0000	25.6900	36.4100	506.3100	
7/10/2026 3:25:13 PM	6.8290	0.0000	25.6900	36.4100	339.2400	
7/10/2026 3:25:13 PM	6.8790	0.0000	25.6900	36.4100	339.2400	
